course_code,alias_text,source,confidence,is_verified
001A,MEDICINE (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
001B,MEDICINE (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
001C,MEDICINE (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
001D,MEDICINE (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
001E,MEDICINE (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
001F,MEDICINE (University of Ruhuna),manual_seed_2024_handbook,1.00,TRUE
001G,MEDICINE (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
001H,"MEDICINE (Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
001K,MEDICINE (Rajarata University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
001L,MEDICINE (Sabaragamuwa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
001M,MEDICINE (Wayamba University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
001U,MEDICINE (Uva Wellassa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
002B,DENTAL SURGERY (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
002C,DENTAL SURGERY (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
003B,VETERINARY SCIENCE (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
004E,AGRICULTURE (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
004H,"AGRICULTURE (Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
004K,AGRICULTURE (Rajarata University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
004L,AGRICULTURE (Sabaragamuwa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
004M,AGRICULTURE (Wayamba University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
005M,FOOD SCIENCE & NUTRITION (Wayamba University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
006A,BIOLOGICAL SCIENCE (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
006B,BIOLOGICAL SCIENCE (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
006C,BIOLOGICAL SCIENCE (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
006D,BIOLOGICAL SCIENCE (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
006E,BIOLOGICAL SCIENCE (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
006F,BIOLOGICAL SCIENCE (University of Ruhuna),manual_seed_2024_handbook,1.00,TRUE
006H,"BIOLOGICAL SCIENCE (Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
006J,BIOLOGICAL SCIENCE (South Eastern University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
007K,APPLIED SCIENCES (BIOLOGICAL SC.) (Rajarata University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
007L,APPLIED SCIENCES (BIOLOGICAL SC.) (Sabaragamuwa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
007R,"APPLIED SCIENCES (BIOLOGICAL SC.) (University of Vavuniya, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
008B,ENGINEERING (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
008C,ENGINEERING (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
008E,ENGINEERING (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
008F,ENGINEERING (University of Ruhuna),manual_seed_2024_handbook,1.00,TRUE
008G,ENGINEERING (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
008J,ENGINEERING (South Eastern University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
009G,ENGINEERING (EM) (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
010G,ENGINEERING (TM) (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
011G,QUANTITY SURVEYING (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
012C,COMPUTER SCIENCE (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
012D,COMPUTER SCIENCE (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
012E,COMPUTER SCIENCE (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
012F,COMPUTER SCIENCE (University of Ruhuna),manual_seed_2024_handbook,1.00,TRUE
012T,COMPUTER SCIENCE (University of Colombo School of Computing),manual_seed_2024_handbook,1.00,TRUE
012W,"COMPUTER SCIENCE (Trincomalee Campus, Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
013A,PHYSICAL SCIENCE (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
013B,PHYSICAL SCIENCE (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
013C,PHYSICAL SCIENCE (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
013D,PHYSICAL SCIENCE (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
013E,PHYSICAL SCIENCE (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
013F,PHYSICAL SCIENCE (University of Ruhuna),manual_seed_2024_handbook,1.00,TRUE
013H,"PHYSICAL SCIENCE (Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
013J,PHYSICAL SCIENCE (South Eastern University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
014L,SURVEYING SCIENCE (Sabaragamuwa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
015K,APPLIED SCIENCES (PHYSICAL SC.) (Rajarata University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
015L,APPLIED SCIENCES (PHYSICAL SC.) (Sabaragamuwa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
015M,APPLIED SCIENCES (PHYSICAL SC.) (Wayamba University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
015R,"APPLIED SCIENCES (PHYSICAL SC.) (University of Vavuniya, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
015W,"APPLIED SCIENCES (PHYSICAL SC.) (Trincomalee Campus, Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
016A,MANAGEMENT (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
016B,MANAGEMENT (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
016C,MANAGEMENT (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
016D,MANAGEMENT (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
016E,MANAGEMENT (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
016F,MANAGEMENT (University of Ruhuna),manual_seed_2024_handbook,1.00,TRUE
016H,"MANAGEMENT (Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
016J,MANAGEMENT (South Eastern University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
016K,MANAGEMENT (Rajarata University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
016L,MANAGEMENT (Sabaragamuwa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
016M,MANAGEMENT (Wayamba University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
017C,REAL ESTATE MANAGEMENT AND VALUATION (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
018C,COMMERCE (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
018D,COMMERCE (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
018E,COMMERCE (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
018H,"COMMERCE (Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
018J,COMMERCE (South Eastern University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
019A,ARTS (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
019B,ARTS (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
019C,ARTS (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
019D,ARTS (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
019E,ARTS (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
019F,ARTS (University of Ruhuna),manual_seed_2024_handbook,1.00,TRUE
019H,"ARTS (Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
019J,ARTS (South Eastern University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
019K,ARTS (Rajarata University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
020S,"ARTS (SP) - MASS MEDIA (Sripalee Campus, University of Colombo)",manual_seed_2024_handbook,1.00,TRUE
041S,"ARTS (SP) - PERFORMING ARTS (Sripalee Campus, University of Colombo)",manual_seed_2024_handbook,1.00,TRUE
021L,ARTS (SAB) (Sabaragamuwa University of Sri Lanka),manual_seed_2024_handbook,1.00,TRUE
022W,"MANAGEMENT STUDIES (TV) (Trincomalee Campus, Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
022R,"MANAGEMENT STUDIES (TV) (University of Vavuniya, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
023G,ARCHITECTURE (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
024G,DESIGN (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
025A,LAW (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
025B,LAW (University of Peradeniya),manual_seed_2024_handbook,1.00,TRUE
025E,LAW (University of Jaffna),manual_seed_2024_handbook,1.00,TRUE
026G,INFORMATION TECHNOLOGY (IT) (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
027D,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
028C,MANAGEMENT AND PUBLIC POLICY (University of Sri Jayewardenepura),manual_seed_2024_handbook,1.00,TRUE
029W,"COMMUNICATION STUDIES (Trincomalee Campus, Eastern University, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
030G,URBAN INFORMATICS AND PLANNING (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
031D,PEACE AND CONFLICT RESOLUTION (University of Kelaniya),manual_seed_2024_handbook,1.00,TRUE
032A,AYURVEDA MEDICINE AND SURGERY (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
032P,"AYURVEDA MEDICINE AND SURGERY (Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)",manual_seed_2024_handbook,1.00,TRUE
033A,UNANI MEDICINE AND SURGERY (University of Colombo),manual_seed_2024_handbook,1.00,TRUE
034G,FASHION DESIGN & PRODUCT DEVELOPMENT (University of Moratuwa),manual_seed_2024_handbook,1.00,TRUE
