course_code,course_number,university_code,name_en
001A,001,CMB,Medicine (University of Colombo)
001B,001,PDN,Medicine (University of Peradeniya)
001C,001,SJP,Medicine (University of Sri Jayewardenepura)
001D,001,KLN,Medicine (University of Kelaniya)
001E,001,UJA,Medicine (University of Jaffna)
001F,001,RUH,Medicine (University of Ruhuna)
001G,001,MRT,Medicine (University of Moratuwa)
001H,001,EUSL,"Medicine (Eastern University, Sri Lanka)"
001K,001,RUSL,Medicine (Rajarata University of Sri Lanka)
001L,001,SUSL,Medicine (Sabaragamuwa University of Sri Lanka)
001M,001,WUSL,Medicine (Wayamba University of Sri Lanka)
001U,001,UWU,Medicine (Uva Wellassa University of Sri Lanka)
002B,002,PDN,Dental Surgery (University of Peradeniya)
002C,002,SJP,Dental Surgery (University of Sri Jayewardenepura)
003B,003,PDN,Veterinary Science (University of Peradeniya)
004E,004,UJA,Agriculture (University of Jaffna)
004H,004,EUSL,"Agriculture (Eastern University, Sri Lanka)"
004K,004,RUSL,Agriculture (Rajarata University of Sri Lanka)
004L,004,SUSL,Agriculture (Sabaragamuwa University of Sri Lanka)
004M,004,WUSL,Agriculture (Wayamba University of Sri Lanka)
005M,005,WUSL,Food Science & Nutrition (Wayamba University of Sri Lanka)
006A,006,CMB,Biological Science (University of Colombo)
006B,006,PDN,Biological Science (University of Peradeniya)
006C,006,SJP,Biological Science (University of Sri Jayewardenepura)
006D,006,KLN,Biological Science (University of Kelaniya)
006E,006,UJA,Biological Science (University of Jaffna)
006F,006,RUH,Biological Science (University of Ruhuna)
006H,006,EUSL,"Biological Science (Eastern University, Sri Lanka)"
006J,006,SEUSL,Biological Science (South Eastern University of Sri Lanka)
007K,007,RUSL,Applied Sciences (Biological Sc.) (Rajarata University of Sri Lanka)
007L,007,SUSL,Applied Sciences (Biological Sc.) (Sabaragamuwa University of Sri Lanka)
007R,007,UOV,"Applied Sciences (Biological Sc.) (University of Vavuniya, Sri Lanka)"
008B,008,PDN,Engineering (University of Peradeniya)
008C,008,SJP,Engineering (University of Sri Jayewardenepura)
008E,008,UJA,Engineering (University of Jaffna)
008F,008,RUH,Engineering (University of Ruhuna)
008G,008,MRT,Engineering (University of Moratuwa)
008J,008,SEUSL,Engineering (South Eastern University of Sri Lanka)
009G,009,MRT,Engineering (EM) (University of Moratuwa)
010G,010,MRT,Engineering (TM) (University of Moratuwa)
011G,011,MRT,Quantity Surveying (University of Moratuwa)
012C,012,SJP,Computer Science (University of Sri Jayewardenepura)
012D,012,KLN,Computer Science (University of Kelaniya)
012E,012,UJA,Computer Science (University of Jaffna)
012F,012,RUH,Computer Science (University of Ruhuna)
012T,012,UCSC,Computer Science (University of Colombo School of Computing)
012W,012,TRINCO,"Computer Science (Trincomalee Campus, Eastern University, Sri Lanka)"
013A,013,CMB,Physical Science (University of Colombo)
013B,013,PDN,Physical Science (University of Peradeniya)
013C,013,SJP,Physical Science (University of Sri Jayewardenepura)
013D,013,KLN,Physical Science (University of Kelaniya)
013E,013,UJA,Physical Science (University of Jaffna)
013F,013,RUH,Physical Science (University of Ruhuna)
013H,013,EUSL,"Physical Science (Eastern University, Sri Lanka)"
013J,013,SEUSL,Physical Science (South Eastern University of Sri Lanka)
014L,014,SUSL,Surveying Science (Sabaragamuwa University of Sri Lanka)
015K,015,RUSL,Applied Sciences (Physical Sc.) (Rajarata University of Sri Lanka)
015L,015,SUSL,Applied Sciences (Physical Sc.) (Sabaragamuwa University of Sri Lanka)
015M,015,WUSL,Applied Sciences (Physical Sc.) (Wayamba University of Sri Lanka)
015R,015,UOV,"Applied Sciences (Physical Sc.) (University of Vavuniya, Sri Lanka)"
015W,015,TRINCO,"Applied Sciences (Physical Sc.) (Trincomalee Campus, Eastern University, Sri Lanka)"
016A,016,CMB,Management (University of Colombo)
016B,016,PDN,Management (University of Peradeniya)
016C,016,SJP,Management (University of Sri Jayewardenepura)
016D,016,KLN,Management (University of Kelaniya)
016E,016,UJA,Management (University of Jaffna)
016F,016,RUH,Management (University of Ruhuna)
016H,016,EUSL,"Management (Eastern University, Sri Lanka)"
016J,016,SEUSL,Management (South Eastern University of Sri Lanka)
016K,016,RUSL,Management (Rajarata University of Sri Lanka)
016L,016,SUSL,Management (Sabaragamuwa University of Sri Lanka)
016M,016,WUSL,Management (Wayamba University of Sri Lanka)
017C,017,SJP,Real Estate Management and Valuation (University of Sri Jayewardenepura)
018C,018,SJP,Commerce (University of Sri Jayewardenepura)
018D,018,KLN,Commerce (University of Kelaniya)
018E,018,UJA,Commerce (University of Jaffna)
018H,018,EUSL,"Commerce (Eastern University, Sri Lanka)"
018J,018,SEUSL,Commerce (South Eastern University of Sri Lanka)
019A,019,CMB,Arts (University of Colombo)
019B,019,PDN,Arts (University of Peradeniya)
019C,019,SJP,Arts (University of Sri Jayewardenepura)
019D,019,KLN,Arts (University of Kelaniya)
019E,019,UJA,Arts (University of Jaffna)
019F,019,RUH,Arts (University of Ruhuna)
019H,019,EUSL,"Arts (Eastern University, Sri Lanka)"
019J,019,SEUSL,Arts (South Eastern University of Sri Lanka)
019K,019,RUSL,Arts (Rajarata University of Sri Lanka)
020S,020,SP,"Arts (SP) - Mass Media (Sripalee Campus, University of Colombo)"
041S,041,SP,"Arts (SP) - Performing Arts (Sripalee Campus, University of Colombo)"
021L,021,SUSL,Arts (SAB) (Sabaragamuwa University of Sri Lanka)
022W,022,TRINCO,"Management Studies (TV) (Trincomalee Campus, Eastern University, Sri Lanka)"
022R,022,UOV,"Management Studies (TV) (University of Vavuniya, Sri Lanka)"
023G,023,MRT,Architecture (University of Moratuwa)
024G,024,MRT,Design (University of Moratuwa)
025A,025,CMB,Law (University of Colombo)
025B,025,PDN,Law (University of Peradeniya)
025E,025,UJA,Law (University of Jaffna)
026G,026,MRT,Information Technology (IT) (University of Moratuwa)
027D,027,KLN,Management and Information Technology (MIT) (University of Kelaniya)
028C,028,SJP,Management and Public Policy (University of Sri Jayewardenepura)
029W,029,TRINCO,"Communication Studies (Trincomalee Campus, Eastern University, Sri Lanka)"
030G,030,MRT,Urban Informatics and Planning (University of Moratuwa)
031D,031,KLN,Peace and Conflict Resolution (University of Kelaniya)
032A,032,CMB,Ayurveda Medicine and Surgery (University of Colombo)
032P,032,GWUIM,"Ayurveda Medicine and Surgery (Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka)"
033A,033,CMB,Unani Medicine and Surgery (University of Colombo)
034G,034,MRT,Fashion Design & Product Development (University of Moratuwa)
035B,035,PDN,Food Science & Technology (University of Peradeniya)
035C,035,SJP,Food Science & Technology (University of Sri Jayewardenepura)
035L,035,SUSL,Food Science & Technology (Sabaragamuwa University of Sri Lanka)
036E,036,UJA,Siddha Medicine and Surgery (University of Jaffna)
036W,036,TRINCO,"Siddha Medicine and Surgery (Trincomalee Campus, Eastern University, Sri Lanka)"
037A,037,CMB,Nursing (University of Colombo)
037B,037,PDN,Nursing (University of Peradeniya)
037C,037,SJP,Nursing (University of Sri Jayewardenepura)
037E,037,UJA,Nursing (University of Jaffna)
037F,037,RUH,Nursing (University of Ruhuna)
037H,037,EUSL,"Nursing (Eastern University, Sri Lanka)"
038K,038,RUSL,Information and Communication Technology (ICT) (Rajarata University of Sri Lanka)
038R,038,UOV,"Information and Communication Technology (ICT) (University of Vavuniya, Sri Lanka)"
039B,039,PDN,Agricultural Technology & Management (University of Peradeniya)
050K,050,RUSL,Health Promotion (Rajarata University of Sri Lanka)
051B,051,PDN,Pharmacy (University of Peradeniya)
